NIM;Nama;Departemen;Fakultas;Angkatan ;Tinggi Badan;
G14130012;Tiara Permata Sari;STK;FMIPA;50;155;
G14130013;Floren Nindya ;STK;FMIPA;50;152;
G14130014;Hasna Puspasari;STK;FMIPA;50;152;
G14130015;Nindy Kusumawati;STK;FMIPA;50;152;
G14130016;Diah Yuan Tan;STK;FMIPA;50;165;
G24130045;Heru Suprobo;GFM;FMIPA;50;165;
G24130055;Sugeng Sobardjo;GFM;FMIPA;50;160;
G24130019;Ari Gautama;GFM;FMIPA;50;154;
G24130020;Helen Syafitri;GFM;FMIPA;50;164;
G24130021;Gea Nurfatma Putri;GFM;FMIPA;50;159;
G24130022;Pita Handayani;GFM;FMIPA;50;157;
G54140023;Muhammad Dinsyah;MTK;FMIPA;51;165;
G54140027;Komeng;MTK;FMIPA;51;169;
G54140025;Haji Sinandar;MTK;FMIPA;51;155;
G54140026;Selly Gita ;MTK;FMIPA;51;158;
G64150027;Linda;Ilkom ;FMIPA;52;156;
G64150028;Kesuma Fitri;Ilkom ;FMIPA;52;167;
G64130029;Jinny Blosom;Ilkom ;FMIPA;50;161;
G64150027;Dewi Nana;Ilkom ;FMIPA;52;164;
G64150028;Maya Puspita;Ilkom ;FMIPA;52;163;
G64130029;Pramana Agung;Ilkom ;FMIPA;50;153;
G64150027;Verga Syah;Ilkom ;FMIPA;52;152;
G64150028;Asep ;Ilkom ;FMIPA;52;160;
G64130029;Budi ;Ilkom ;FMIPA;50;163;
G64150027;Dadang;Ilkom ;FMIPA;52;156;
